Name,Equip Gender,Style Gender,Path
Hope Mask,Male,Male,natives/STM/Art/Model/Character/ch02/001/000/3/ch02_001_0003
Hope Mask,Male,Female,natives/STM/Art/Model/Character/ch02/001/001/3/ch02_001_0013
Hope Mask,Female,Male,natives/STM/Art/Model/Character/ch03/001/000/3/ch03_001_0003
Hope Mask,Female,Female,natives/STM/Art/Model/Character/ch03/001/001/3/ch03_001_0013
Hope Mail,Male,Male,natives/STM/Art/Model/Character/ch02/001/000/2/ch02_001_0002
Hope Mail,Male,Female,natives/STM/Art/Model/Character/ch02/001/001/2/ch02_001_0012
Hope Mail,Female,Male,natives/STM/Art/Model/Character/ch03/001/000/2/ch03_001_0002
Hope Mail,Female,Female,natives/STM/Art/Model/Character/ch03/001/001/2/ch03_001_0012
Hope Vambraces,Male,Male,natives/STM/Art/Model/Character/ch02/001/000/1/ch02_001_0001
Hope Vambraces,Male,Female,natives/STM/Art/Model/Character/ch02/001/001/1/ch02_001_0011
Hope Vambraces,Female,Male,natives/STM/Art/Model/Character/ch03/001/000/1/ch03_001_0001
Hope Vambraces,Female,Female,natives/STM/Art/Model/Character/ch03/001/001/1/ch03_001_0011
Hope Coil,Male,Male,natives/STM/Art/Model/Character/ch02/001/000/5/ch02_001_0005
Hope Coil,Male,Female,natives/STM/Art/Model/Character/ch02/001/001/5/ch02_001_0015
Hope Coil,Female,Male,natives/STM/Art/Model/Character/ch03/001/000/5/ch03_001_0005
Hope Coil,Female,Female,natives/STM/Art/Model/Character/ch03/001/001/5/ch03_001_0015
Hope Greaves,Male,Male,natives/STM/Art/Model/Character/ch02/001/000/4/ch02_001_0004
Hope Greaves,Male,Female,natives/STM/Art/Model/Character/ch02/001/001/4/ch02_001_0014
Hope Greaves,Female,Male,natives/STM/Art/Model/Character/ch03/001/000/4/ch03_001_0004
Hope Greaves,Female,Female,natives/STM/Art/Model/Character/ch03/001/001/4/ch03_001_0014
Leather Headgear,Male,Male,natives/STM/Art/Model/Character/ch02/005/000/3/ch02_005_0003
Leather Headgear,Male,Female,natives/STM/Art/Model/Character/ch02/005/001/3/ch02_005_0013
Leather Headgear,Female,Male,natives/STM/Art/Model/Character/ch03/005/000/3/ch03_005_0003
Leather Headgear,Female,Female,natives/STM/Art/Model/Character/ch03/005/001/3/ch03_005_0013
Leather Vest,Male,Male,natives/STM/Art/Model/Character/ch02/005/000/2/ch02_005_0002
Leather Vest,Male,Female,natives/STM/Art/Model/Character/ch02/005/001/2/ch02_005_0012
Leather Vest,Female,Male,natives/STM/Art/Model/Character/ch03/005/000/2/ch03_005_0002
Leather Vest,Female,Female,natives/STM/Art/Model/Character/ch03/005/001/2/ch03_005_0012
Leather Gloves,Male,Male,natives/STM/Art/Model/Character/ch02/005/000/1/ch02_005_0001
Leather Gloves,Male,Female,natives/STM/Art/Model/Character/ch02/005/001/1/ch02_005_0011
