Weapon Type,Name,Path
Great Sword,Hope Blade I,natives/STM/Art/Model/Item/it00/00/0004/it0000_0004_0.mesh
Great Sword,Hope Blade II,natives/STM/Art/Model/Item/it00/00/0004/it0000_0004_0.mesh
Great Sword,Hope Blade III,natives/STM/Art/Model/Item/it00/00/0004/it0000_0004_0.mesh
Great Sword,Hope Blade IV,natives/STM/Art/Model/Item/it00/00/0004/it0000_0004_0.mesh
Great Sword,Hope Blade V,natives/STM/Art/Model/Item/it00/00/0004/it0000_0004_0.mesh
Great Sword,Valkyrie Blade I,natives/STM/Art/Model/Item/it00/00/0005/it0000_0005_0.mesh
Great Sword,Valkyrie Blade II,natives/STM/Art/Model/Item/it00/00/0005/it0000_0005_0.mesh
Great Sword,Sieglinde,natives/STM/Art/Model/Item/it00/00/0005/it0000_0005_0.mesh
Great Sword,Chicken Decapitator I,natives/STM/Art/Model/Item/it00/00/0012/it0000_0012_0.mesh
Great Sword,Chicken Decapitator II,natives/STM/Art/Model/Item/it00/00/0012/it0000_0012_0.mesh
Great Sword,Rooster Decapitator,natives/STM/Art/Model/Item/it00/00/0012/it0000_0012_0.mesh
Great Sword,Nihil Great Sword I,natives/STM/Art/Model/Item/it00/00/0020/it0000_0020_0.mesh
Great Sword,Nihil Great Sword II,natives/STM/Art/Model/Item/it00/00/0020/it0000_0020_0.mesh
Great Sword,Prinvrilo's Dissolution,natives/STM/Art/Model/Item/it00/00/0020/it0000_0020_0.mesh
Great Sword,Quematrice Espada I,natives/STM/Art/Model/Item/it00/00/0006/it0000_0006_0.mesh
Great Sword,Quematrice Espada II,natives/STM/Art/Model/Item/it00/00/0006/it0000_0006_0.mesh
Great Sword,Quematrice Espada III,natives/STM/Art/Model/Item/it00/00/0006/it0000_0006_0.mesh
Great Sword,Quematrice Espada IV,natives/STM/Art/Model/Item/it00/00/0006/it0000_0006_0.mesh
Great Sword,Firetrail Blaisdell,natives/STM/Art/Model/Item/it00/00/0007/it0000_0007_0.mesh
Great Sword,Cheda Blade I,natives/STM/Art/Model/Item/it00/00/0015/it0000_0015_0.mesh
Great Sword,Impudent Cheda,natives/STM/Art/Model/Item/it00/00/0015/it0000_0015_0.mesh
Great Sword,Buster Sword I,natives/STM/Art/Model/Item/it00/01/0004/it0001_0004_0.mesh
Great Sword,Buster Sword II,natives/STM/Art/Model/Item/it00/01/0004/it0001_0004_0.mesh
Great Sword,Buster Sword III,natives/STM/Art/Model/Item/it00/01/0004/it0001_0004_0.mesh
Great Sword,Ravager Blade,natives/STM/Art/Model/Item/it00/01/0006/it0001_0006_0.mesh
Great Sword,Jin Dhavaar I,natives/STM/Art/Model/Item/it00/00/0019/it0000_0019_0.mesh
Great Sword,Precipice Metallam,natives/STM/Art/Model/Item/it00/00/0019/it0000_0019_0.mesh
Great Sword,Albirath Wing I,natives/STM/Art/Model/Item/it00/10/0000/it0010_0000_0.mesh
Great Sword,Albirath Wing II,natives/STM/Art/Model/Item/it00/10/0000/it0010_0000_0.mesh
